epoch,train_loss,val_loss,train_f1,val_f1,lr,threshold
1,0.577101944582803,0.6279987760799234,0.580101622470968,0.6847819708780348,0.001,0.1473684161901474
2,0.5164519111542475,0.6843901443150556,0.6846697461581949,0.6968045887427792,0.001,0.3368420898914337
3,0.49381583997181483,0.6035496747457972,0.7036882971944344,0.7023216747707183,0.001,0.28947368264198303
4,0.47982742861339023,0.5093112902049274,0.716845514248145,0.7192494457938557,0.001,0.3368420898914337
5,0.4696432221276419,0.5191417176609011,0.7255981367893158,0.7211229270757192,0.001,0.3368420898914337
6,0.4577754652500153,0.5993293018959915,0.7354669884551838,0.6949227647778182,0.001,0.3842105269432068
7,0.45008429236639114,0.7262771801669528,0.7382157117944389,0.6729648278696627,0.001,0.10000000149011612
8,0.4372287133307684,0.620091108455751,0.70859915063096,0.7022064159455751,0.001,0.10000000149011612
9,0.4326461920511155,0.5045251907572564,0.7107438969556439,0.7267355517030546,0.001,0.28947368264198303
10,0.4230344578992753,0.4397498456522297,0.7562136881893788,0.758152318171743,0.001,0.3368420898914337
11,0.41611774415061586,0.44716245121555226,0.7654185647033918,0.7530858409209673,0.001,0.3368420898914337
12,0.41046649989627654,0.5208619344261295,0.770143495921463,0.7357561538800174,0.001,0.43157893419265747
13,0.4128439110687801,0.5754047487341901,0.7640839781240907,0.7218390759489431,0.001,0.19473683834075928
14,0.4054242028962998,0.4467858862850063,0.7531501186653232,0.7709612071842906,0.001,0.28947368264198303
